Episode 1	Average Score: 0.50
Episode 2	Average Score: 0.65
Episode 3	Average Score: 0.71
Episode 4	Average Score: 0.75
Episode 5	Average Score: 0.84
Episode 6	Average Score: 0.83
Episode 7	Average Score: 0.83
Episode 8	Average Score: 0.83
Episode 9	Average Score: 0.88
Episode 10	Average Score: 0.89
Episode 11	Average Score: 0.90
Episode 12	Average Score: 0.91
Episode 13	Average Score: 1.00
Episode 14	Average Score: 1.15
Episode 15	Average Score: 1.29
Episode 16	Average Score: 1.45
Episode 17	Average Score: 1.58
Episode 18	Average Score: 1.74
Episode 19	Average Score: 2.05
Episode 20	Average Score: 2.29
Episode 21	Average Score: 2.55
Episode 22	Average Score: 2.80
Episode 23	Average Score: 3.16
Episode 24	Average Score: 3.50
Episode 25	Average Score: 3.78
Episode 26	Average Score: 4.11
Episode 27	Average Score: 4.44
Episode 28	Average Score: 4.79
Episode 29	Average Score: 5.10
Episode 30	Average Score: 5.34
Episode 31	Average Score: 5.62
Episode 32	Average Score: 5.93
Episode 33	Average Score: 6.31
Episode 34	Average Score: 6.68
Episode 35	Average Score: 7.06
Episode 36	Average Score: 7.43
Episode 37	Average Score: 7.85
Episode 38	Average Score: 8.28
Episode 39	Average Score: 8.68
Episode 40	Average Score: 9.04
Episode 41	Average Score: 9.41
Episode 42	Average Score: 9.82
Episode 43	Average Score: 10.23
Episode 44	Average Score: 10.59
Episode 45	Average Score: 10.91
Episode 46	Average Score: 11.28
Episode 47	Average Score: 11.65
Episode 48	Average Score: 11.98
Episode 49	Average Score: 12.34
Episode 50	Average Score: 12.65
Episode 51	Average Score: 13.01
Episode 52	Average Score: 13.35
Episode 53	Average Score: 13.67
Episode 54	Average Score: 13.99
Episode 55	Average Score: 14.30
Episode 56	Average Score: 14.60
Episode 57	Average Score: 14.89
Episode 58	Average Score: 15.18
Episode 59	Average Score: 15.48
Episode 60	Average Score: 15.76
Episode 61	Average Score: 16.05
Episode 62	Average Score: 16.33
Episode 63	Average Score: 16.61
Episode 64	Average Score: 16.86
Episode 65	Average Score: 17.11
Episode 66	Average Score: 17.36
Episode 67	Average Score: 17.61
Episode 68	Average Score: 17.83
Episode 69	Average Score: 18.06
Episode 70	Average Score: 18.27
Episode 71	Average Score: 18.50
Episode 72	Average Score: 18.71
Episode 73	Average Score: 18.92
Episode 74	Average Score: 19.11
Episode 75	Average Score: 19.28
Episode 76	Average Score: 19.48
Episode 77	Average Score: 19.66
Episode 78	Average Score: 19.85
Episode 79	Average Score: 20.01
Episode 80	Average Score: 20.18
Episode 81	Average Score: 20.35
Episode 82	Average Score: 20.52
Episode 83	Average Score: 20.66
Episode 84	Average Score: 20.82
Episode 85	Average Score: 20.97
Episode 86	Average Score: 21.13
Episode 87	Average Score: 21.27
Episode 88	Average Score: 21.42
Episode 89	Average Score: 21.57
Episode 90	Average Score: 21.71
Episode 91	Average Score: 21.85
Episode 92	Average Score: 21.99
Episode 93	Average Score: 22.12
Episode 94	Average Score: 22.26
Episode 95	Average Score: 22.41
Episode 96	Average Score: 22.53
Episode 97	Average Score: 22.66
Episode 98	Average Score: 22.79
Episode 99	Average Score: 22.91
Episode 100	Average Score: 23.03
Episode 101	Average Score: 23.38
Episode 102	Average Score: 23.72
Episode 103	Average Score: 24.06
Episode 104	Average Score: 24.40
Episode 105	Average Score: 24.74
Episode 106	Average Score: 25.07
Episode 107	Average Score: 25.41
Episode 108	Average Score: 25.74
Episode 109	Average Score: 26.07
Episode 110	Average Score: 26.40
Episode 111	Average Score: 26.74
Episode 112	Average Score: 27.07
Episode 113	Average Score: 27.40
Episode 114	Average Score: 27.71
Episode 115	Average Score: 28.01
Episode 116	Average Score: 28.32
Episode 117	Average Score: 28.63
Episode 118	Average Score: 28.93
Episode 119	Average Score: 29.21
Episode 120	Average Score: 29.50
Episode 121	Average Score: 29.76
Episode 122	Average Score: 30.04

 Target score reached in 122 episodes!	Average Score: 30.04
